"GID_0","NAME_0","GID_1","NAME_1","VARNAME_1","NL_NAME_1","TYPE_1","ENGTYPE_1","CC_1","HASC_1","pop2015","prec_pop1","prec1","tmean_pop1","tmean1","ndvi_pop1","ndvi1","prec_pop2","prec2","tmean_pop2","tmean2","ndvi_pop2","ndvi2","prec_pop3","prec3","tmean_pop3","tmean3","ndvi_pop3","ndvi3","prec_pop4","prec4","tmean_pop4","tmean4","ndvi_pop4","ndvi4","prec_pop5","prec5","tmean_pop5","tmean5","ndvi_pop5","ndvi5","prec_pop6","prec6","tmean_pop6","tmean6","ndvi_pop6","ndvi6","prec_pop7","prec7","tmean_pop7","tmean7","ndvi_pop7","ndvi7","prec_pop8","prec8","tmean_pop8","tmean8","ndvi_pop8","ndvi8","prec_pop9","prec9","tmean_pop9","tmean9","ndvi_pop9","ndvi9","prec_pop10","prec10","tmean_pop10","tmean10","ndvi_pop10","ndvi10","prec_pop11","prec11","tmean_pop11","tmean11","ndvi_pop11","ndvi11","prec_pop12","prec12","tmean_pop12","tmean12","ndvi_pop12","ndvi12","elev","elev_pop","lon","lat","urban_prop","travel_time_unweighted","travel_time_popweighted","frontier_pct","trop_pct","forest_loss","mastomys_occur","mastomys_inf","imp_housing","crop_pct","bush_meat","poverty_pct","malaria_pfpr"
"CIV","C<f4>te d'Ivoire","CIV.4_1","Dengu<e9>l<e9>",NA,NA,"District","District",NA,"CI.DE",352456.5812,3.922962786,4.02166065,24.55942488,24.59705058,136.6817883,137.8517384,9.785742024,9.881768953,26.95594047,26.93255961,138.6040816,141.0515341,34.12104759,35.09566787,28.40575512,28.35385921,152.2489155,153.3229129,72.45296477,72.82490975,28.34888217,28.30782672,152.9397124,153.7628336,124.4008898,124.3032491,27.47882784,27.45648377,176.5806819,176.4872911,153.9995815,154.0424188,25.88894381,25.86318773,190.833965,192.2791266,260.8179064,253.5965704,24.7249541,24.69148376,201.9088023,203.5176533,303.2117908,299.0279783,24.44320041,24.41519854,216.9008777,218.8201787,233.210772,231.8790614,24.73960084,24.75301085,216.8381186,218.2347544,117.4012154,114.9016245,25.34898454,25.36074367,215.5120204,216.4743532,23.0776906,22.39891697,25.2154344,25.25772923,196.9332943,198.3921437,6.766576665,6.979241877,23.71429514,23.80388809,163.4494688,165.242904,426.9780735,426.8644334,-7.391993154,9.645646371,0.00090472545062286,175.655099269451,162.176368035212,0.213438735177866,1,0.484549807812064,0.486453710709299,0.721167129235608,0.116950162422687,0.0159188412206988,0.0591426989036365,47.8,0.223222082263172
"CIV","C<f4>te d'Ivoire","CIV.5_1","G<f4>h-Djiboua",NA,NA,"District","District",NA,"CI.GD",1827562.45,19.08841879,18.95980512,26.01751603,26.00301574,173.2654851,177.9244598,65.2336024,64.22046285,27.18551128,27.16472102,195.3677856,197.7001768,116.0770955,113.3398295,27.25551862,27.25228252,204.3039314,206.3385575,139.6369246,136.4421437,27.15617925,27.16030694,200.951515,202.4473211,179.6883352,184.9780755,26.42020632,26.41625832,217.3707881,219.3882286,212.4186099,228.4628502,25.37852444,25.38510595,221.9548354,224.2015155,87.69676587,90.46163216,24.4969298,24.5114251,227.9235922,229.1275804,70.68338703,68.92570037,24.31502338,24.29742265,225.735342,226.2769702,125.7395268,120.6857491,24.97883318,24.96882824,222.4912402,224.7975393,130.5750552,130.7503045,25.54249974,25.53689645,227.584233,228.7836502,81.66612616,85.81973203,25.89219812,25.91635579,224.4998453,226.0035044,35.21925363,35.89403167,25.60633607,25.64685009,199.4562843,201.1516389,173.6594565,182.5873742,-5.606718186,5.953329122,0.00788146706141596,85.0933005486408,63.6834678060595,0,1,0.903118430273301,0.219197341175966,0.100785850568913,0.260851014269013,0.972870648259304,0.579259564512936,16.2,0.309766629091597
"CIV","C<f4>te d'Ivoire","CIV.6_1","Lacs",NA,NA,"District","District",NA,"CI.LA",1528210.981,9.125872483,8.878698225,26.71765938,26.75428994,164.264011,163.7418478,43.59531625,41.90384615,28.1791363,28.2198047,175.6563657,173.0697454,104.4777415,102.2928994,28.34621034,28.39642901,190.8698822,188.6768843,128.2763617,128.4252959,27.96973247,27.99025444,205.5299648,204.6038524,147.7348616,146.5059172,27.22264958,27.23521892,219.3043308,218.3769057,177.8988009,172.443787,26.08273874,26.09578104,222.2164227,220.4808476,92.47363511,93.95044379,25.02715624,25.02978697,230.345159,228.8994931,74.910346,80.15384615,24.78506914,24.78781067,225.6008157,226.2188765,140.1231332,142.2684911,25.42951034,25.4178432,226.5849431,226.1358322,116.5625147,114.4289941,26.08748926,26.08992898,227.2127304,227.8230017,41.61423594,39.38461538,26.63017615,26.63533428,221.394625,220.5137385,13.00837395,13.04215976,26.23664285,26.25296153,198.0508384,196.0725029,172.5105238,169.0788189,-4.438510344,7.053893808,0.00550519710065025,85.2495021260101,70.115113350849,0.0353697749196141,1,0.727163696529506,0.582761716884627,0.0933644408185227,0.194074421021085,0.675394736842105,0.141195643066819,46.2,0.361786299459333
"CIV","C<f4>te d'Ivoire","CIV.7_1","Lagunes",NA,NA,"District","District",NA,"CI.LN",1824011.688,14.87559713,15.61436673,26.60595377,26.57140367,193.3752626,194.4931326,55.72132559,56.68147448,27.70783959,27.67199096,201.5240096,202.0251158,117.3312595,116.0444234,27.89063452,27.85440676,211.4427955,212.0168668,137.2101492,136.2381853,27.80691204,27.76996783,215.5324983,215.9933754,204.42694,204.9243856,27.19425045,27.15241333,231.5040126,231.2939866,296.5550372,297.721172,26.08419928,26.03890331,231.3552784,231.4819836,118.5438702,117.9546314,25.08311821,25.0506275,236.0272571,236.665098,51.00281451,50.90075614,24.49198006,24.48902361,234.8250062,235.944323,110.9945822,109.8298677,25.42454967,25.39401379,232.4605685,232.9057745,150.6409669,147.7457467,26.13961865,26.10197981,234.8904041,234.9148654,102.4012854,102.4234405,26.94517725,26.88967625,228.7921031,229.6079865,37.36445031,37.35349716,26.74656099,26.68822662,204.1585201,205.838167,80.16890309,79.27275385,-4.292602461,5.848014837,0.0089024247393698,90.8625371790281,68.0790776437608,0.0632911392405063,1,0.897210593304811,0.137476474685738,0.135298632967931,0.280523799092019,0.834341544291805,0.191134229566542,16.2,0.284404202161581
"CIV","C<f4>te d'Ivoire","CIV.8_1","Montagnes",NA,NA,"District","District",NA,"CI.MN",1999406.562,14.60879905,15.75225806,24.83927558,24.97414711,180.8084991,179.6200555,48.26870999,49.57870968,25.85397416,25.99888776,198.9897534,198.0340252,106.2603737,108.7167742,26.22778279,26.35837425,210.6751786,208.8366752,143.2676586,144.8270968,26.23194794,26.33332905,207.7074215,206.1352588,157.0309947,163.3122581,25.80618209,25.76210841,217.7282657,217.4860616,208.1134972,210.243871,24.81329804,24.86392774,221.0887028,220.9228242,180.5115936,167.6812903,23.69126768,23.78731875,224.1575877,224.6659639,242.9372414,222.9019355,23.58484103,23.61176773,228.5049591,227.3140968,298.4217468,292.3283871,24.46292067,24.54108646,233.6301065,232.9425283,167.5028825,174.1354839,24.96431923,25.04661159,236.0317172,235.2607642,56.13255441,62.05419355,25.0358101,25.11342458,229.0527479,228.7803187,21.74411445,24.41032258,24.25935441,24.41240258,205.4660953,204.5348338,334.5875017,340.2679237,-7.651223929,6.938395061,0.00301581207022933,140.212373305035,69.7175123115941,0,1,0.811582877703626,0.150441038015243,0.164701068666947,0.152963007881747,0.617871002794163,0.688494027492831,61.6,0.364004875914545
"CIV","C<f4>te d'Ivoire","CIV.9_1","Sassandra-Marahou<e9>",NA,NA,"District","District",NA,"CI.SM",2363656.83,13.26457358,12.8943948,25.85616934,25.8099886,176.7731652,179.7160485,54.41156297,51.4735987,27.28310695,27.20659305,180.8578165,184.8475014,95.78742838,92.56295695,27.42901831,27.38528347,195.0179121,196.3882874,130.7670699,128.1470349,27.14968132,27.12444846,193.9450017,196.6959663,144.1587144,141.6019496,26.51715135,26.4992298,212.3862856,215.1646849,147.6113812,146.9577579,25.50226585,25.47587648,213.2931696,215.0573018,102.1897235,105.5637693,24.44532248,24.37973677,220.2223346,221.0920079,143.3765908,149.4971568,24.33087064,24.26049386,220.8881593,222.8750605,195.772129,199.5158408,25.01375462,24.98142,228.8467554,229.1308091,128.6388016,127.282697,25.51207825,25.47477173,230.2467783,231.9137141,43.86223368,41.62225833,25.76477038,25.74569302,220.6177167,224.0652488,20.83841939,19.9983753,25.28669355,25.25799187,198.1938655,202.0567636,245.8591805,243.2785938,-6.336894248,7.055266267,0.00477741774893665,80.9880202965495,55.7645415636929,0.0524475524475524,1,0.771521523881371,0.45243175139402,0.0797759652353579,0.206354303754397,0.829330495356037,0.461327084297255,47.4,0.382947408716092
"CIV","C<f4>te d'Ivoire","CIV.10_1","Savanes",NA,NA,"District","District",NA,"CI.SV",1566209.846,3.826440981,3.559790376,26.07760639,26.12304333,123.5760044,124.7904429,8.93711248,9.973797046,28.11297413,28.06930922,121.2203888,123.3654811,41.42783616,42.49118628,29.14945727,29.07823723,131.2226017,136.0852745,80.11459303,82.25631253,28.90685069,28.80368748,128.0996987,136.3688217,120.4563828,119.4311577,28.00051015,27.92237065,147.1471381,155.5632219,137.4569625,134.0533587,26.50916386,26.49628585,165.0178375,171.9127335,205.4125279,195.5097666,25.41653697,25.41472321,171.0458221,182.2372167,258.8932318,245.7131968,25.15004095,25.14962934,194.9792524,203.2772238,202.6642141,199.8985231,25.46260615,25.50483849,205.8683756,210.7099472,92.04478284,93.24868985,26.2687025,26.24252313,201.9956627,206.6718494,18.7509198,18.61410195,26.69720936,26.62043641,175.9409658,182.791881,6.833348272,7.553596951,25.57401868,25.56876227,141.0018274,147.3718449,342.3548428,355.6089207,-5.560295244,9.566743774,0.001501430806012,97.4638336364805,54.7992956413898,0.776842105263158,1,0.561965634910471,0.737432882122527,0.194020381365392,0.160342908532423,0.224565871729567,0.0947325012537476,52.9,0.268983815816076
"CIV","C<f4>te d'Ivoire","CIV.11_1","Vall<e9>e du Bandama",NA,NA,"District","District",NA,"CI.VB",1760914.425,9.46852654,6.484954514,26.76805098,26.71362069,139.7905956,143.483292,32.99246463,24.69559132,28.17497967,28.26082573,141.7371858,143.6745998,79.60524717,68.50594822,28.34422974,28.65292651,154.1719796,159.892893,123.2320858,111.0685794,27.76704426,28.09058363,169.325202,170.9215582,128.6391259,123.0650805,26.8738846,27.23702451,189.2853762,190.3017603,128.9362054,123.646606,25.63532254,25.9923359,190.8347132,195.5833954,111.3212199,123.603219,24.52544802,24.84524567,206.701164,209.6115461,132.7226422,148.6011197,24.43797951,24.67289855,211.4887474,211.9946122,173.6567862,178.1609517,24.94414766,25.23697692,219.2285139,221.6607427,98.11146143,96.98110567,25.67542401,25.94730582,216.7601386,219.4906121,25.40471036,23.04618614,26.18657159,26.49628554,206.109752,206.8796546,12.42563912,12.20013996,25.97115997,26.10078656,174.2332724,174.4012457,281.5134158,292.5788062,-4.945209021,8.270286216,0.00490748621686488,101.19146076689,44.0817665787076,0.316109422492401,1,0.532857292695987,0.65961396987267,0.063584198267585,0.163578604929722,0.154807692307692,0.123667104846368,34.2,0.435431490029477
"CIV","C<f4>te d'Ivoire","CIV.12_1","Woroba",NA,NA,"District","District",NA,"CI.WB",738606.6156,7.689340326,7.369763206,25.4439871,25.34731995,140.64798,140.87903,27.91555416,26.27625987,26.97263609,26.93531511,144.578265,145.6618947,64.73060963,63.13236187,27.46219075,27.47060594,160.1134138,162.0102598,104.7930529,103.2179721,27.24972788,27.24964665,166.7277622,167.4549807,125.5616159,126.4165149,26.59525474,26.57518398,187.8480213,188.0810288,138.7028489,141.2993321,25.34510812,25.32425016,195.6729183,197.6786221,153.380978,160.7486339,24.12579617,24.11266305,205.156487,208.5494553,216.0045799,223.9095325,23.91769773,23.91064724,215.2150927,216.6522099,217.9104096,221.106861,24.68953294,24.65593678,221.9091566,222.5590792,112.4672656,112.8828172,25.17501725,25.1313175,216.8363416,219.1620878,26.49974585,26.27200971,25.56754902,25.50158591,201.5219679,204.1629812,13.53456644,12.88221008,24.92836661,24.81271648,166.8626036,168.6991368,368.7002552,363.9213668,-6.747619955,8.371776916,0.00089276724282597,130.669774190786,111.568248228043,0.0428954423592493,1,0.649728473557576,0.53616119734584,0.179299353512438,0.133941576099836,0.125128665469779,0.163665963780835,47.8,0.370572974811551
"CIV","C<f4>te d'Ivoire","CIV.13_1","Yamoussoukro",NA,NA,"District autonome","Autonomous district",NA,"CI.YM",409307.5694,14.88992818,14.38333333,26.38505576,26.37933334,155.8245893,161.9026453,50.47737455,49.49166667,28.03670804,28.01329978,163.8784487,169.5881236,104.460604,102.2916667,28.19444613,28.1556001,188.8380711,194.9809139,135.1892158,133.2583333,27.80362641,27.75730007,197.5269229,202.6250931,156.7527801,154.375,27.0281826,26.98553324,206.1762358,211.700022,165.2527679,165.3666667,25.99454666,25.95123324,202.1805144,207.6274907,96.12821332,94.34166667,25.09541404,25.02583348,220.5463688,221.5808517,89.89997999,88.85833333,24.94751798,24.87766652,211.9331815,214.6053272,168.4018625,166.1416667,25.42979216,25.3776333,212.9687687,218.2878271,115.8356957,112.3666667,25.96021061,25.91609995,220.6255392,221.6986348,39.9380206,39.275,26.1108609,26.11533337,210.1104341,215.6441186,19.87968347,19.35,25.53160711,25.56696664,176.5832088,183.4192835,197.7971134,208.8812396,-5.268737311,6.862332068,0.0337194869673149,43.6819533679081,25.3172452150556,0.04,1,0.656720860151047,0.655848921622549,0.0615829171346767,0.290093481841714,0.789554794520548,0.225822604300144,46.2,0.333532449752092
